team,b_r,b_h,b_hr,p_er,win,loss,win_percentage
SEA,9,7,2,6,1,0,1.0
OAK,7,9,3,9,0,1,0.0
SEA,5,9,2,3,1,0,1.0
OAK,4,10,0,5,0,1,0.0
PIT,3,5,1,5,0,1,0.0
CIN,5,6,2,3,1,0,1.0
CHA,3,4,0,4,0,1,0.0
KCA,5,5,0,3,1,0,1.0
ARI,5,9,2,12,0,1,0.0
LAN,12,12,8,5,1,0,1.0
COL,6,9,1,3,1,0,1.0
MIA,3,4,3,5,0,1,0.0
SLN,4,5,3,5,0,1,0.0
MIL,5,7,3,4,1,0,1.0
CLE,0,2,0,2,0,1,0.0
MIN,2,4,0,0,1,0,1.0
BAL,2,8,0,7,0,1,0.0
NYA,7,9,2,1,1,0,1.0
ANA,0,3,0,4,0,1,0.0
OAK,4,7,2,0,1,0,1.0
ATL,4,7,1,10,0,1,0.0
PHI,10,7,3,4,1,0,1.0
SFN,0,5,0,2,0,1,0.0
SDN,2,6,1,0,1,0,1.0
BOS,4,11,0,11,0,1,0.0
SEA,12,12,5,3,1,0,1.0
HOU,5,10,3,1,1,0,1.0
TBA,1,4,1,5,0,1,0.0
CHN,12,13,3,4,1,0,1.0
TEX,4,6,2,12,0,1,0.0
DET,2,4,1,0,1,0,1.0
TOR,0,2,0,2,0,1,0.0
NYN,2,5,1,0,1,0,1.0
WAS,0,5,0,2,0,1,0.0
ARI,5,10,1,4,1,0,1.0
LAN,4,11,1,2,0,1,0.0
COL,6,11,0,1,1,0,1.0
MIA,1,2,1,6,0,1,0.0
SLN,9,14,3,5,1,0,1.0
MIL,5,8,2,9,0,1,0.0
ANA,6,10,0,2,1,0,1.0
OAK,2,7,1,6,0,1,0.0
SFN,1,6,1,4,0,1,0.0
SDN,4,8,1,1,1,0,1.0
BOS,7,8,4,6,1,0,1.0
SEA,6,8,3,6,0,1,0.0
HOU,2,6,0,1,0,1,0.0
TBA,4,6,1,2,1,0,1.0
DET,0,2,0,5,0,1,0.0
TOR,6,7,0,0,1,0,1.0
CHA,6,10,2,8,0,1,0.0
KCA,8,10,0,6,1,0,1.0
ARI,5,7,4,17,0,1,0.0
LAN,18,19,4,5,1,0,1.0
COL,3,8,0,7,0,1,0.0
MIA,7,16,0,3,1,0,1.0
SLN,2,7,0,3,0,1,0.0
MIL,4,8,3,2,1,0,1.0
CLE,2,4,1,1,1,0,1.0
MIN,1,2,0,2,0,1,0.0
BAL,5,9,0,3,1,0,1.0
NYA,3,10,1,3,0,1,0.0
ANA,2,6,0,4,0,1,0.0
OAK,4,7,1,1,1,0,1.0
ATL,6,10,2,8,0,1,0.0
PHI,8,9,3,6,1,0,1.0
SFN,3,9,0,2,1,0,1.0
SDN,2,8,0,3,0,1,0.0
BOS,5,9,0,5,0,1,0.0
SEA,6,10,1,2,1,0,1.0
HOU,1,8,1,3,0,1,0.0
TBA,3,7,0,1,1,0,1.0
CHN,6,9,1,6,0,1,0.0
TEX,8,10,2,6,1,0,1.0
DET,0,5,0,3,0,1,0.0
TOR,3,6,1,0,1,0,1.0
NYN,11,14,0,4,1,0,1.0
WAS,8,9,1,11,0,1,0.0
PIT,5,10,0,0,1,0,1.0
CIN,0,4,0,3,0,1,0.0
CHA,6,11,2,3,1,0,1.0
KCA,3,6,0,6,0,1,0.0
ARI,7,13,1,5,0,1,0.0
LAN,8,8,1,7,1,0,1.0
COL,0,5,0,3,0,1,0.0
MIA,3,5,1,0,1,0,1.0
SLN,4,7,3,5,0,1,0.0
MIL,5,9,1,4,1,0,1.0
CLE,3,6,0,8,0,1,0.0
MIN,9,15,1,3,1,0,1.0
BAL,7,8,3,5,1,0,1.0
NYA,5,9,1,6,0,1,0.0
ANA,1,3,1,2,0,1,0.0
OAK,2,7,1,1,1,0,1.0
ATL,1,4,0,5,0,1,0.0
PHI,5,5,2,1,1,0,1.0
SFN,1,2,0,1,0,1,0.0
SDN,3,8,0,1,1,0,1.0
BOS,8,9,2,5,0,1,0.0
SEA,10,12,2,6,1,0,1.0
HOU,1,3,1,3,0,1,0.0
TBA,3,8,1,1,1,0,1.0
CHN,10,17,2,11,0,1,0.0
TEX,11,11,3,10,1,0,1.0
DET,4,10,0,3,1,0,1.0
TOR,3,8,1,4,0,1,0.0
NYN,5,13,0,6,0,1,0.0
WAS,6,11,2,5,1,0,1.0
CHN,0,9,0,2,0,1,0.0
ATL,8,12,2,0,1,0,1.0
MIL,4,11,0,3,1,0,1.0
CIN,3,8,0,4,0,1,0.0
CHA,3,3,1,4,0,1,0.0
CLE,5,8,0,2,1,0,1.0
SFN,4,9,1,2,1,0,1.0
LAN,2,7,2,4,0,1,0.0
NYN,7,10,2,1,1,0,1.0
MIA,3,9,1,7,0,1,0.0
DET,1,2,0,2,0,1,0.0
NYA,3,5,2,0,1,0,1.0
BOS,0,4,0,6,0,1,0.0
OAK,7,9,4,0,1,0,1.0
SLN,6,8,1,5,1,0,1.0
PIT,5,6,1,4,0,1,0.0
ARI,10,15,1,3,1,0,1.0
SDN,3,6,1,9,0,1,0.0
ANA,3,8,0,6,0,1,0.0
SEA,6,10,1,1,1,0,1.0
COL,1,6,0,7,0,1,0.0
TBA,7,9,2,1,1,0,1.0
HOU,2,8,1,1,1,0,1.0
TEX,1,2,1,2,0,1,0.0
BAL,6,6,2,5,1,0,1.0
TOR,5,6,2,4,0,1,0.0
MIL,4,7,1,3,1,0,1.0
CIN,3,4,1,4,0,1,0.0
MIN,5,12,0,4,1,0,1.0
KCA,4,10,2,5,0,1,0.0
SFN,5,9,1,1,0,1,0.0
LAN,6,7,1,4,1,0,1.0
NYN,6,9,0,5,1,0,1.0
MIA,5,16,1,6,0,1,0.0
DET,3,11,0,1,1,0,1.0
NYA,1,6,0,3,0,1,0.0
BOS,0,7,0,1,0,1,0.0
OAK,1,3,1,0,1,0,1.0
ARI,8,14,5,5,1,0,1.0
SDN,5,11,3,8,0,1,0.0
ANA,1,4,0,2,0,1,0.0
SEA,2,5,1,1,1,0,1.0
COL,0,2,0,3,0,1,0.0
TBA,4,8,0,0,1,0,1.0
HOU,4,12,0,6,0,1,0.0
TEX,6,9,1,4,1,0,1.0
BAL,2,10,0,1,1,0,1.0
TOR,1,6,1,2,0,1,0.0
PHI,8,14,2,2,1,0,1.0
WAS,2,7,1,7,0,1,0.0
CHN,4,12,1,6,0,1,0.0
ATL,6,8,2,4,1,0,1.0
MIL,1,2,0,0,1,0,1.0
CIN,0,3,0,1,0,1,0.0
CHA,8,13,1,2,1,0,1.0
CLE,3,5,1,6,0,1,0.0
MIN,7,11,0,5,1,0,1.0
KCA,6,9,1,7,0,1,0.0
SFN,3,6,2,5,0,1,0.0
LAN,5,7,1,3,1,0,1.0
NYN,6,10,1,4,1,0,1.0
MIA,4,7,0,4,0,1,0.0
DET,2,3,1,1,1,0,1.0
NYA,1,5,0,2,0,1,0.0
BOS,6,9,1,3,1,0,1.0
OAK,3,5,1,5,0,1,0.0
SLN,5,7,2,4,1,0,1.0
PIT,4,8,1,5,0,1,0.0
ARI,1,7,0,4,0,1,0.0
SDN,4,5,1,1,1,0,1.0
COL,1,5,1,0,1,0,1.0
TBA,0,6,0,1,0,1,0.0
HOU,0,6,0,4,0,1,0.0
TEX,4,5,1,0,1,0,1.0
BAL,3,6,1,4,0,1,0.0
TOR,5,10,2,3,1,0,1.0
